num_nodes,arrival_rate,efficiency,throughput
20,7,0.9557530581039755,0.210021
20,10,0.9007570673884553,0.3000075
20,20,0.6173540099004559,0.6006765
40,7,0.79881614707096,0.42105
40,10,0.6119497376669706,0.597993
40,20,0.28662905807633626,0.9048855
60,7,0.5752839311818284,0.629268
60,10,0.27284030315960894,0.8564835
60,20,0.22439363141612176,0.903468
80,7,0.32644585304883494,0.822717
80,10,0.18997090159871813,0.908385
80,20,0.18993220536675637,0.908637
100,7,0.18949589236813907,0.8952615
100,10,0.16696559640244563,0.915315
100,20,0.16700302973077272,0.915291
